company,status_id,status_message,link_name,status_type,status_link,status_published,likes,comments,shares
beckhoff,119761528047992_1356405251050274,"Microsoft, SAP and Amazon present cloud services in the Industrie 4.0 theme park at Beckhoff","Microsoft, SAP and Amazon present cloud services",video,https://www.facebook.com/beckhoff/videos/1356405251050274/,2016-12-21 15:14:35,16,0,7
beckhoff,119761528047992_1355450484479084,Scheugenpflug: TwinCAT CNC in automotive industry,Scheugenpflug: TwinCAT CNC in automotive industry,link,http://dlvr.it/MwgzNG,2016-12-20 12:02:43,27,1,8
beckhoff,119761528047992_1350825478274918,TwinCAT Measurement: optimal software support for the new EtherCAT measurement modules,TwinCAT Measurement and TwinCAT Analytics,video,https://www.facebook.com/beckhoff/videos/1350825478274918/,2016-12-15 13:40:00,10,0,3
beckhoff,119761528047992_1350825018274964,"EtherCAT measurement technology modules: Extremely accurate, fast and robust","EtherCAT measurement technology modules: Extremely accurate, f...",video,https://www.facebook.com/beckhoff/videos/1350825018274964/,2016-12-15 13:15:00,25,0,4
beckhoff,119761528047992_1347421288615337,Advanced control technology on Bregenz’s stage,Advanced control technology on Bregenz’s stage,link,http://dlvr.it/MsZtrL,2016-12-12 15:19:44,6,0,1
beckhoff,119761528047992_1347411971949602,C6015 ultra compact IPC: Extreme space-savings and flexibility,C6015 ultra compact IPC: Extreme space-savings and flexibility,video,https://www.facebook.com/beckhoff/videos/1347411971949602/,2016-12-12 15:10:31,52,0,19
beckhoff,119761528047992_1322010624489737,"Beckhoff Trade Show TV Day 3 at SPS IPC Drives 2016. Topics: Many-core control on the DIN rail, One Cable Automation with EtherCAT P, OPC UA Pub/Sub implementation in TwinCAT. #sps_live","SPS IPC Drives 2016, Day 3: Beckhoff Trade Show TV",video,https://www.facebook.com/beckhoff/videos/1322010624489737/,2016-11-25 09:04:48,264,3,52
beckhoff,119761528047992_1320907881266678,"Beckhoff Trade Show TV Day 2 from SPS IPC Drives 2016. Topics: Corporate development, ultra compact C6015 Industrial PC, performance increase for servo terminals, space-saving linear actuator. #sps_live","SPS IPC Drives 2016, Day 2: Beckhoff Trade Show TV",video,https://www.facebook.com/beckhoff/videos/1320907881266678/,2016-11-24 10:14:58,366,1,72
beckhoff,119761528047992_1320280651329401,"Performance leap for Embedded PCs: 12 processor cores on DIN rail. The CX20x2 with Many-Core Control. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1320280651329401/?type=3,2016-11-24 07:20:01,21,0,4
beckhoff,119761528047992_1320279837996149,"High Tech and High Life. The Beckhoff booth party at SPS IPC Drives. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1320279837996149/?type=3,2016-11-23 19:34:51,32,0,4
beckhoff,119761528047992_1320101371347329,"Impression from the Beckhoff booth at SPS IPC Drives 2016. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1320101371347329/?type=3,2016-11-23 15:15:02,22,0,3
beckhoff,119761528047992_1320100761347390,"The fascination of automation at SPS IPC Drives 2016. The Beckhoff team looks forward to seeing you. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1320100761347390/?type=3,2016-11-23 14:46:35,10,0,0
beckhoff,119761528047992_1319990568025076,"New point of view with the Microsoft HoloLens™ live demo in the Industrie 4.0 theme park. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1319990568025076/?type=3,2016-11-23 12:25:52,19,0,2
beckhoff,119761528047992_1319854154705384,"Beckhoff Trade Show TV Day 1 at SPS IPC Drives 2016. Topics: High-end measurement technology with EtherCAT measurement modules, cycle-synchronous data acquisition with TwinCAT Analytics, Industrie 4.0 and IoT applications, Microsoft HoloLens™ demo. #sps_live","SPS IPC Drives 2016, Day 1: Beckhoff Trade Show TV",video,https://www.facebook.com/beckhoff/videos/1319854154705384/,2016-11-23 09:01:46,425,0,76
beckhoff,119761528047992_1319026611454805,"“Plug and Cloud” with the EK9160 IoT Bus Coupler. Beckhoff at SPS IPC Drives. www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1319026611454805/?type=3,2016-11-23 07:45:00,30,0,7
beckhoff,119761528047992_1319025624788237,"Welcome to the Industrie 4.0 theme park: Experience the connected production! www.beckhoff.com/sps | #sps_live, Hall 7-406",Timeline Photos,photo,https://www.facebook.com/beckhoff/photos/a.686716998019106.1073741825.119761528047992/1319025624788237/?type=3,2016-11-23 07:30:00,16,0,2
